"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-103178.0018","MARICOPA-STANFIELD","2017","1034.09 AF","3443.93 AF","333.04%","1034.09 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6107403"
"58-103228.0009","ELOY","2013","23.94 AF","416.51 AF","1739.81%","21.77 AF","PINAL AMA","SAN CARLOS","N","","6097668"
"58-102726.0002","ELOY","2016","562.25 AF","7187.89 AF","1278.42%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6246087"
"58-109903.0003","WEST SALT RIVER VALLEY","2017","164.56 AF","1410.76 AF","857.29%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6409930"
"58-106363.0041","WEST SALT RIVER VALLEY","2016","154.62 AF","3245.71 AF","2099.15%","129.74 AF","PHOENIX AMA","","N","","6696790"
"58-106565.0001","AVRA VALLEY","2020","962.5 AF","34112.5 AF","3544.16%","962.5 AF","TUCSON AMA","","N","","5036798"
"58-103840.0002","WEST SALT RIVER VALLEY","2023","95.14 AF","239.37 AF","251.6%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5144858"
"58-104417.0005","ELOY","2022","201.36 AF","2179.59 AF","1082.43%","NONE","PINAL AMA","SAN CARLOS","N","","5458701"
"58-102922.0001","ELOY","2025","130 AF","2509.4 AF","1930.31%","NONE","PINAL AMA","SAN CARLOS","N","","5611547"
"58-113775.0013","HASSAYAMPA","2021","0 AF","-42.13 AF","0%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","Y","","5793644"
"58-111758.0027","ELOY","2018","15.99 AF","127.92 AF","800%","15.99 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5667740"
"58-102038.0004","ELOY","2020","0 AF","-404.96 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5796906"
"58-104174.0007","MARICOPA-STANFIELD","2020","0 AF","6200.98 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","5801213"
"58-103235.0005","ELOY","2024","417.44 AF","3553.85 AF","851.34%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5893748"
"58-111435.0013","ELOY","2018","67.18 AF","1002.49 AF","1492.24%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6064800"
"58-112095.0006","MARICOPA-STANFIELD","2019","494.86 AF","10559.72 AF","2133.88%","24.03 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6091370"
"58-103228.0009","ELOY","2024","23.94 AF","632.96 AF","2643.94%","NONE","PINAL AMA","SAN CARLOS","N","","6097668"
"58-102726.0002","ELOY","2021","562.25 AF","9001.65 AF","1601%","134.8 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6246087"
"58-109250.0148","MARICOPA-STANFIELD","2019","13.68 AF","102.74 AF","751.02%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6270393"
"58-111758.0030","ELOY","2022","31.84 AF","462.12 AF","1451.38%","3.37 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6267042"
"58-107762.0009","ELOY","2019","2728.81 AF","4810.33 AF","176.28%","10.41 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6385780"
"58-102333.0021","MARICOPA-STANFIELD","2021","565.36 AF","6241.38 AF","1103.97%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6551213"
"58-106944.0003","WEST SALT RIVER VALLEY","2022","16.28 AF","14.26 AF","87.59%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6559167"
"58-104721.0002","WEST SALT RIVER VALLEY","2025","140.28 AF","2059.17 AF","1467.9%","NONE","PHOENIX AMA","ADAMAN I.W.D.D. NO. 36","N","","6942896"
"58-104171.0005","MARICOPA-STANFIELD","2021","247.24 AF","434.78 AF","175.85%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6942590"
"58-111407.0002","WEST SALT RIVER VALLEY","2021","698.04 AF","2430.9 AF","348.25%","356.93 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","7056442"
"58-106982.0003","HASSAYAMPA","2023","5366.73 AF","-2173.19 AF","-40.49%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","7492384"
"58-100946.0007","ELOY","2023","1099.68 AF","5160.37 AF","469.26%","262.87 AF","PINAL AMA","SAN CARLOS","N","","7455345"
"58-109254.0023","MARICOPA-STANFIELD","2025","4429.9 AF","0 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","7488352"
"58-103341.0043","ELOY","2023","117.25 AF","1907.94 AF","1627.24%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","7590169"
"58-106616.0003","HASSAYAMPA","2005","3255.92 AF","36076.78 AF","1108.04%","140.11 AF","PHOENIX AMA","","N","","4996090"
"58-106616.0003","HASSAYAMPA","2014","3255.92 AF","41989.1 AF","1289.62%","946.93 AF","PHOENIX AMA","","N","","4996090"
"58-101831.0006","ELOY","2009","130 AF","1860.17 AF","1430.9%","79.56 AF","PINAL AMA","SAN CARLOS","N","","5036518"
"58-100732.0017","ELOY","2015","35.55 AF","335.67 AF","944.22%","35.55 AF","PINAL AMA","SAN CARLOS","N","","5157906"
"58-107348.0002","ELOY","2007","0 AF","6623.2 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5118975"
"58-107348.0003","ELOY","2008","3814.54 AF","27798.24 AF","728.74%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5119013"
"58-107348.0003","ELOY","2013","3814.54 AF","26471.22 AF","693.96%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5119013"
"58-103616.0011","MARICOPA-STANFIELD","2007","86.23 AF","932.51 AF","1081.42%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5372549"
"58-101553.0023","MARICOPA-STANFIELD","2017","106.31 AF","2677.55 AF","2518.62%","106.31 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5376638"
"58-117313.0002","HASSAYAMPA","2009","90.8 AF","631.89 AF","695.91%","90.8 AF","PHOENIX AMA","","N","","5458326"
"58-112400.0003","AVRA VALLEY","2014","414.28 AF","3390.75 AF","818.47%","171.07 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5336814"
"58-101622.0008","WEST SALT RIVER VALLEY","2015","278.37 AF","2576.13 AF","925.43%","23.66 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5338726"
"58-109759.0005","EAST SALT RIVER VALLEY","2008","145.89 AF","902.44 AF","618.58%","29.31 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5523036"
"58-101216.0004","ELOY","2017","446.34 AF","5779.34 AF","1294.83%","446.34 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5464373"
"58-106310.0003","SANTA CRUZ AMA","2016","118.18 AF","3313.98 AF","2804.18%","118.18 AF","SANTA CRUZ AMA","","N","","5620817"
"58-105016.0003","WEST SALT RIVER VALLEY","2017","2923.24 AF","46774.98 AF","1600.11%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5645373"
"58-106367.0060","WEST SALT RIVER VALLEY","2017","533.4 AF","8766.12 AF","1643.44%","476.68 AF","PHOENIX AMA","","N","","5916409"
"58-109250.0142","MARICOPA-STANFIELD","2017","0 AF","-389.38 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","5795418"
"58-130009.0003","WEST SALT RIVER VALLEY","2016","212.76 AF","1947.22 AF","915.22%","154.46 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","6090421"
