"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-104172.0003","MARICOPA-STANFIELD","2016","274.56 AF","8186.48 AF","2981.67%","274.56 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5367364"
"58-111938.0002","ELOY","2015","0 AF","1602.46 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5368895"
"58-113447.0002","WEST SALT RIVER VALLEY","2008","298.16 AF","3087.74 AF","1035.6%","41.34 AF","PHOENIX AMA","","N","","5349902"
"58-101666.0018","MARICOPA-STANFIELD","2008","36.5 AF","-12.21 AF","-33.45%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5358483"
"58-108726.0014","WEST SALT RIVER VALLEY","2007","138.24 AF","939.71 AF","679.77%","71.32 AF","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5289226"
"58-105025.0007","WEST SALT RIVER VALLEY","2013","0 AF","1848.43 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5377740"
"58-102355.0005","WEST SALT RIVER VALLEY","2016","83.82 AF","321.43 AF","383.48%","1.64 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5610122"
"58-101829.0015","ELOY","2014","21.56 AF","193.02 AF","895.27%","18.83 AF","PINAL AMA","SAN CARLOS","N","","5470555"
"58-103797.0006","ELOY","2012","155.87 AF","2411.05 AF","1546.83%","22.83 AF","PINAL AMA","","N","","5662420"
"58-100815.0005","WEST SALT RIVER VALLEY","2012","55.49 AF","215.98 AF","389.22%","22.82 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5606294"
"58-113181.0008","MARICOPA-STANFIELD","2015","0 AF","277.29 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","5759726"
"58-130661.0001","WEST SALT RIVER VALLEY","2014","113.1 AF","1380.31 AF","1220.43%","59.94 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5800971"
"58-101314.0002","EAST SALT RIVER VALLEY","2016","84.69 AF","2407.12 AF","2842.27%","61.89 AF","PHOENIX AMA","","N","","5935566"
"58-101101.0005","WEST SALT RIVER VALLEY","2015","94.35 AF","-10.74 AF","-11.38%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","6367800"
"58-106447.0006","WEST SALT RIVER VALLEY","2024","55.57 AF","518.44 AF","932.95%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5016488"
"58-114619.0057","ELOY","2017","72.81 AF","1937.6 AF","2661.17%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5019455"
"58-103174.0004","AGUIRRE VALLEY","2020","1249.72 AF","34393.49 AF","2752.1%","1249.72 AF","PINAL AMA","","N","","5038526"
"58-107813.0004","MARICOPA-STANFIELD","2019","492.12 AF","7343.31 AF","1492.18%","426.42 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5040930"
"58-100504.0003","ELOY","2018","0 AF","70.93 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5141580"
"58-102821.0019","WEST SALT RIVER VALLEY","2023","67.27 AF","711.94 AF","1058.33%","41.18 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5146827"
"58-112762.0005","ELOY","2023","887.7 AF","12594.23 AF","1418.75%","829.7 AF","PINAL AMA","SAN CARLOS","N","","5113157"
"58-150070.0003","ELOY","2025","0 AF","2109.59 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5118836"
"58-104967.0001","AVRA VALLEY","2022","240.72 AF","2312.58 AF","960.69%","74.1 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5139252"
"58-112721.0004","MARICOPA-STANFIELD","2018","525.84 AF","950.84 AF","180.82%","11.68 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5307886"
"58-100086.0004","AVRA VALLEY","2022","1547.7 AF","53375.2 AF","3448.68%","1547.7 AF","TUCSON AMA","","N","","5362888"
"58-150012.0002","MARICOPA-STANFIELD","2018","144.9 AF","2451.75 AF","1692.03%","144.9 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516229"
"58-150012.0002","MARICOPA-STANFIELD","2025","144.9 AF","2770.73 AF","1912.17%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5516229"
"58-104971.0003","ELOY","2023","199.54 AF","4331.45 AF","2170.72%","49.71 AF","PINAL AMA","SAN CARLOS","N","","5495104"
"58-112762.0007","ELOY","2020","304.76 AF","5584.67 AF","1832.48%","197.77 AF","PINAL AMA","","N","","5641544"
"58-113539.0005","ELOY","2024","418.66 AF","1007.94 AF","240.75%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5656364"
"58-108652.0003","EAST SALT RIVER VALLEY","2018","222.39 AF","2163.98 AF","973.06%","39.27 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5797864"
"58-101569.0005","HASSAYAMPA","2020","372.75 AF","12315.02 AF","3303.83%","NONE","PHOENIX AMA","","N","","5801021"
"58-130661.0001","WEST SALT RIVER VALLEY","2025","113.1 AF","1880.09 AF","1662.33%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5800971"
"58-103655.0044","MARICOPA-STANFIELD","2022","23.3 AF","450.48 AF","1933.39%","23.3 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796588"
"58-101314.0002","EAST SALT RIVER VALLEY","2020","84.69 AF","2627.48 AF","3102.47%","84.69 AF","PHOENIX AMA","","N","","5935566"
"58-102437.0005","WEST SALT RIVER VALLEY","2024","294.72 AF","-3691.15 AF","-1252.43%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","6039253"
"58-112095.0008","MARICOPA-STANFIELD","2020","166.81 AF","4172.18 AF","2501.16%","143 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6252632"
"58-100252.0022","WEST SALT RIVER VALLEY","2022","73.51 AF","1662.17 AF","2261.15%","NONE","PHOENIX AMA","","N","","6368980"
"58-108081.0010","EAST SALT RIVER VALLEY","2018","0 AF","11645.44 AF","0%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","Y","","6398066"
"58-114665.0004","AVRA VALLEY","2019","1347.68 AF","20631.69 AF","1530.9%","147.68 AF","TUCSON AMA","","N","","6418178"
"58-109254.0020","MARICOPA-STANFIELD","2025","0 AF","-165.32 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","6411507"
"58-109250.0149","MARICOPA-STANFIELD","2024","342.12 AF","2105.66 AF","615.47%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6557316"
"58-101849.0011","ELOY","2025","95.58 AF","612.33 AF","640.65%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","6552177"
"58-109175.0002","AVRA VALLEY","2023","652.32 AF","16255.59 AF","2491.97%","517.1 AF","TUCSON AMA","","N","","7629882"
"58-109175.0002","AVRA VALLEY","2025","652.32 AF","16255.59 AF","2491.97%","NONE","TUCSON AMA","","N","","7629882"
"58-102298.0011","WEST SALT RIVER VALLEY","2024","263.61 AF","3295.88 AF","1250.29%","NONE","PHOENIX AMA","","N","","7775069"
"58-114619.0054","ELOY","2014","22.41 AF","602.6 AF","2688.98%","22.41 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5019419"
"58-114619.0054","ELOY","2008","22.41 AF","468.14 AF","2088.98%","22.41 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5019419"
"58-100602.0001","AVRA VALLEY","2010","275.21 AF","1428.03 AF","518.89%","43.17 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5024766"
"58-106565.0001","AVRA VALLEY","2006","962.5 AF","20637.5 AF","2144.16%","962.5 AF","TUCSON AMA","","N","","5036798"
"58-103022.0004","ELOY","2006","1387.75 AF","12032.4 AF","867.04%","572.69 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5037714"
"58-101814.0014","ELOY","2012","30.25 AF","451.22 AF","1491.64%","30.25 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5038118"
"58-108713.0002","WEST SALT RIVER VALLEY","2006","9.77 AF","-51.84 AF","-530.6%","9.77 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5036937"
"58-113402.0001","WEST SALT RIVER VALLEY","2015","482.2 AF","3311.11 AF","686.67%","47.63 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5024712"
"58-102331.0009","ELOY","2011","3148.48 AF","12375.95 AF","393.08%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5032434"
"58-107818.0007","ELOY","2007","0 AF","3522.16 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5118121"
"58-102821.0022","WEST SALT RIVER VALLEY","2008","92 AF","367.22 AF","399.15%","33.8 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147084"
"58-115649.0003","HASSAYAMPA","2010","83.55 AF","1931.6 AF","2311.91%","NONE","PHOENIX AMA","","N","","5147386"
"58-111693.0005","WEST SALT RIVER VALLEY","2017","112.42 AF","3363.76 AF","2992.14%","112.42 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5149399"
"58-101171.0006","EAST SALT RIVER VALLEY","2012","14.77 AF","271.54 AF","1838.46%","13.45 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5142083"
"58-102191.0006","ELOY","2010","293.76 AF","2171.91 AF","739.35%","80.24 AF","PINAL AMA","","N","","5343018"
"58-102399.0010","MARICOPA-STANFIELD","2014","118.1 AF","2737.88 AF","2318.27%","106.67 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5357101"
"58-107830.0015","MARICOPA-STANFIELD","2016","13.08 AF","299.08 AF","2286.54%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5360875"
"58-114619.0068","ELOY","2007","134.33 AF","1663.62 AF","1238.46%","134.33 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5373163"
"58-102694.0012","ELOY","2009","40.41 AF","632.78 AF","1565.9%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5500180"
"58-150090.0002","ELOY","2009","158.86 AF","2693.24 AF","1695.35%","125.95 AF","PINAL AMA","SAN CARLOS","N","","5489715"
"58-103382.0011","ELOY","2011","0 AF","230.91 AF","0%","NONE","PINAL AMA","SAN CARLOS","Y","","5662134"
"58-103655.0040","MARICOPA-STANFIELD","2010","79.84 AF","1894.04 AF","2372.29%","79.84 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796487"
"58-130081.0005","WEST SALT RIVER VALLEY","2017","754.86 AF","16511.82 AF","2187.4%","754.86 AF","PHOENIX AMA","","N","","6556949"
"58-100602.0001","AVRA VALLEY","2024","275.21 AF","1976.07 AF","718.02%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5024766"
"58-102331.0007","ELOY","2023","0 AF","205.9 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5011850"
"58-108713.0002","WEST SALT RIVER VALLEY","2022","9.77 AF","104.48 AF","1069.4%","9.77 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5036937"
"58-101814.0009","ELOY","2020","131.34 AF","3129.1 AF","2382.44%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5036259"
"58-102698.0001","ELOY","2024","1435.3 AF","4782.78 AF","333.23%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","4996648"
"58-101553.0019","MARICOPA-STANFIELD","2019","109.06 AF","2195.94 AF","2013.52%","109.06 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5018024"
"58-107818.0007","ELOY","2019","0 AF","3522.16 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5118121"
"58-150049.0003","ELOY","2018","184.76 AF","3785.97 AF","2049.13%","176.64 AF","PINAL AMA","SAN CARLOS","N","","5497022"
"58-150090.0002","ELOY","2020","158.86 AF","3652.21 AF","2299.01%","20.8 AF","PINAL AMA","SAN CARLOS","N","","5489715"
"58-109250.0141","MARICOPA-STANFIELD","2020","280.53 AF","2597.95 AF","926.09%","227.94 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5664882"
"58-102399.0011","MARICOPA-STANFIELD","2020","695.47 AF","14541 AF","2090.82%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5658223"
"58-103655.0040","MARICOPA-STANFIELD","2021","79.84 AF","2612.6 AF","3272.29%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796487"
"58-109834.0002","WEST SALT RIVER VALLEY","2024","160.56 AF","2340.97 AF","1458%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5800956"
"58-101199.0005","MARICOPA-STANFIELD","2025","376.33 AF","6070.26 AF","1613.02%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5898781"
"58-112095.0006","MARICOPA-STANFIELD","2018","494.86 AF","10535.69 AF","2129.02%","494.86 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6091370"
"58-105532.0004","ELOY","2019","118.26 AF","3451.04 AF","2918.18%","118.26 AF","PINAL AMA","","N","","6108025"
"58-130008.0014","WEST SALT RIVER VALLEY","2025","0 AF","75.85 AF","0%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","Y","","6249231"
"58-102511.0009","WEST SALT RIVER VALLEY","2021","613.36 AF","5740.38 AF","935.89%","4.74 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","6249497"
"58-105352.0008","RAINBOW VALLEY","2020","390.82 AF","6099.69 AF","1560.74%","NONE","PHOENIX AMA","","N","","6408592"
"58-106619.0006","HASSAYAMPA","2024","2102.51 AF","14253.64 AF","677.93%","NONE","PHOENIX AMA","","N","","6510264"
"58-105211.0018","RAINBOW VALLEY","2022","488.41 AF","16482.83 AF","3374.79%","488.41 AF","PHOENIX AMA","","N","","6550664"
"58-114619.0093","ELOY","2025","538.32 AF","10736.36 AF","1994.42%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6700444"
"58-108389.0003","EAST SALT RIVER VALLEY","2025","92.94 AF","715.8 AF","770.17%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6967213"
"58-150096.0004","ELOY","2024","904.38 AF","5262.66 AF","581.91%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","7099664"
"58-114570.0010","EAST SALT RIVER VALLEY","2020","0 AF","24.34 AF","0%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","Y","","7224343"
"58-112825.0027","WEST SALT RIVER VALLEY","2025","625.44 AF","7850.7 AF","1255.23%","NONE","PHOENIX AMA","","N","","7497859"
"58-101466.0012","ELOY","2022","91.13 AF","810.13 AF","888.98%","91.13 AF","PINAL AMA","","N","","7489678"
"58-114570.0010","EAST SALT RIVER VALLEY","2025","99.61 AF","121.63 AF","122.11%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","7224343"
"58-109711.0020","MARICOPA-STANFIELD","2009","329.66 AF","5190.71 AF","1574.56%","329.66 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026878"
"58-109956.0001","WEST SALT RIVER VALLEY","2016","396.6 AF","4205.95 AF","1060.5%","68.62 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5032349"
"58-100408.0011","EAST SALT RIVER VALLEY","2005","158.27 AF","159.67 AF","100.88%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5031111"
"58-100408.0011","EAST SALT RIVER VALLEY","2007","158.27 AF","188.91 AF","119.36%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5031111"
"58-104180.0003","ELOY","2005","772.33 AF","5639.14 AF","730.15%","486.18 AF","PINAL AMA","SAN CARLOS","N","","5032984"
"58-100398.0004","ELOY","2017","833.87 AF","132.82 AF","15.93%","NONE","PINAL AMA","SAN CARLOS","N","","5024042"
"58-111751.0002","ELOY","2010","560.56 AF","7884.23 AF","1406.49%","305.79 AF","PINAL AMA","SAN CARLOS","N","","4993638"
"58-113230.0004","WEST SALT RIVER VALLEY","2013","387.96 AF","3398.28 AF","875.94%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5041732"
"58-105181.0003","WEST SALT RIVER VALLEY","2006","65.42 AF","286.58 AF","438.06%","15.5 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5017345"
"58-104173.0007","ELOY","2006","872.91 AF","7683.94 AF","880.27%","112.47 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5034298"
"58-100320.0008","WEST SALT RIVER VALLEY","2005","198.93 AF","312.32 AF","157%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5019368"
"58-111647.0019","WEST SALT RIVER VALLEY","2017","53.69 AF","88.83 AF","165.45%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5147643"
"58-114831.0003","WEST SALT RIVER VALLEY","2007","71.42 AF","432.74 AF","605.91%","NONE","PHOENIX AMA","PENINSULA DITCH CO","N","","5113062"
"58-107830.0009","MARICOPA-STANFIELD","2011","343.38 AF","917.46 AF","267.19%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5360686"
"58-113775.0010","HASSAYAMPA","2007","268.31 AF","-14.25 AF","-5.31%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","N","","5361231"
"58-108190.0005","WEST SALT RIVER VALLEY","2017","70.59 AF","21.47 AF","30.42%","10.92 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5378004"
"58-112108.0009","WEST SALT RIVER VALLEY","2010","19.5 AF","122.36 AF","627.49%","5.47 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5232210"
"58-101622.0008","WEST SALT RIVER VALLEY","2008","278.37 AF","2000.6 AF","718.68%","226.39 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5338726"
"58-112540.0001","ELOY","2015","0 AF","127.17 AF","0%","NONE","PINAL AMA","","Y","","5522201"
"58-102991.0003","MARICOPA-STANFIELD","2011","1222.65 AF","5467.7 AF","447.2%","2.53 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5523063"
"58-102904.0005","WEST SALT RIVER VALLEY","2014","240.74 AF","2904.61 AF","1206.53%","140.74 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5613116"
"58-102904.0005","WEST SALT RIVER VALLEY","2016","240.74 AF","2905.08 AF","1206.73%",".47 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5613116"
"58-150103.0014","ELOY","2014","919.49 AF","11121.84 AF","1209.57%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5463687"
"58-101087.0003","ELOY","2013","117.13 AF","1716.23 AF","1465.24%","103.1 AF","PINAL AMA","SAN CARLOS","N","","5464312"
"58-100067.0002","ELOY","2011","964.09 AF","14458.55 AF","1499.71%","379.44 AF","PINAL AMA","SAN CARLOS","N","","5666502"
"58-111758.0028","ELOY","2009","22.77 AF","22.77 AF","100%","22.77 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5667752"
"58-100911.0004","WEST SALT RIVER VALLEY","2015","67.28 AF","140.94 AF","209.48%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5781933"
"58-100328.0005","ELOY","2014","185.11 AF","3475.06 AF","1877.29%","163.63 AF","PINAL AMA","SAN CARLOS","N","","6079726"
"58-104990.0005","HASSAYAMPA","2015","648.3 AF","2514.93 AF","387.93%","570.03 AF","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","6091741"
"58-100188.0018","ELOY","2014","0 AF","-7.75 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6373642"
"58-106616.0003","HASSAYAMPA","2021","3255.92 AF","45614.21 AF","1400.96%","860.26 AF","PHOENIX AMA","","N","","4996090"
"58-100034.0027","HASSAYAMPA","2020","38.1 AF","594.65 AF","1560.76%","NONE","PHOENIX AMA","","N","","5032721"
"58-104180.0003","ELOY","2019","772.33 AF","15074.34 AF","1951.8%","698.65 AF","PINAL AMA","SAN CARLOS","N","","5032984"
"58-102331.0006","ELOY","2024","0 AF","204.88 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5011644"
"58-102597.0001","WEST SALT RIVER VALLEY","2018","88.64 AF","873.01 AF","984.89%","18.63 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","4996188"
"58-101829.0013","ELOY","2021","0 AF","5964.94 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5154071"
"58-103640.0003","WEST SALT RIVER VALLEY","2023","26.33 AF","394.78 AF","1499.35%","17.74 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147307"
"58-111647.0019","WEST SALT RIVER VALLEY","2022","53.69 AF","97.86 AF","182.27%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5147643"
"58-104878.0001","HASSAYAMPA","2019","64.24 AF","827.72 AF","1288.48%","64.24 AF","PHOENIX AMA","","N","","5151173"
"58-104878.0001","HASSAYAMPA","2025","64.24 AF","827.72 AF","1288.48%","NONE","PHOENIX AMA","","N","","5151173"
"58-114831.0003","WEST SALT RIVER VALLEY","2019","71.42 AF","573.03 AF","802.34%","11.14 AF","PHOENIX AMA","PENINSULA DITCH CO","N","","5113062"
"58-114831.0004","WEST SALT RIVER VALLEY","2017","57.58 AF","283.27 AF","491.96%","NONE","PHOENIX AMA","PENINSULA DITCH CO","N","","5113068"
"58-113775.0010","HASSAYAMPA","2025","0 AF","-61.39 AF","0%","NONE","PHOENIX AMA","TONOPAH IRRIGATION DISTRICT","Y","","5361231"
"58-105508.0009","ELOY","2022","20.55 AF","758.38 AF","3690.41%","20.55 AF","PINAL AMA","","N","","5488744"
"58-108190.0006","WEST SALT RIVER VALLEY","2024","29.01 AF","76.55 AF","263.87%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5378042"
"58-100154.0003","VEKOL VALLEY","2019","1248.3 AF","39843 AF","3191.78%","1248.3 AF","PINAL AMA","","N","","5500847"
"58-102284.0009","WEST SALT RIVER VALLEY","2018","27.51 AF","377.71 AF","1372.99%","8.46 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5515780"
"58-105004.0004","HASSAYAMPA","2024","193.55 AF","1171.59 AF","605.32%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","5523636"
"58-102344.0017","ELOY","2022","1171.61 AF","28024.74 AF","2391.99%","1171.61 AF","PINAL AMA","","N","","5645298"
"58-105928.0002","AVRA VALLEY","2024","84.91 AF","3187.09 AF","3753.49%","NONE","TUCSON AMA","","N","","5669774"
"58-101276.0010","WEST SALT RIVER VALLEY","2020","0 AF","9269.54 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5789722"
"58-130159.0006","WEST SALT RIVER VALLEY","2019","121.03 AF","221.07 AF","182.66%","29.05 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5945985"
"58-103509.0005","WEST SALT RIVER VALLEY","2018","0 AF","57.75 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5944653"
"58-103509.0005","WEST SALT RIVER VALLEY","2021","0 AF","57.75 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5944653"
"58-107202.0008","EAST SALT RIVER VALLEY","2022","0 AF","200.59 AF","0%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","Y","","6091158"
"58-107202.0006","EAST SALT RIVER VALLEY","2020","0 AF","94.46 AF","0%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","Y","","6091343"
"58-103979.0010","MARICOPA-STANFIELD","2024","713.31 AF","-356.65 AF","-50%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6038532"
"58-112701.0004","MARICOPA-STANFIELD","2023","1396.79 AF","32821.93 AF","2349.81%","331.01 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6258889"
"58-100294.0016","ELOY","2020","915.71 AF","11661 AF","1273.44%","543.04 AF","PINAL AMA","SAN CARLOS","N","","6414885"
"58-108081.0016","EAST SALT RIVER VALLEY","2023","27.82 AF","311.38 AF","1119.27%","27.82 AF","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","N","","6399026"
"58-100309.0003","ELOY","2018","723.96 AF","14096.53 AF","1947.14%","548.99 AF","PINAL AMA","SAN CARLOS","N","","6826332"
"58-102000.0002","WEST SALT RIVER VALLEY","2020","196.1 AF","1555.85 AF","793.4%","196.1 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","6825291"
"58-104148.0007","WEST SALT RIVER VALLEY","2023","154.67 AF","134.56 AF","87%","63.12 AF","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","6367175"
"58-107908.0016","EAST SALT RIVER VALLEY","2020","72.56 AF","490.98 AF","676.65%","72.56 AF","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","7075488"
"58-111424.0001","HASSAYAMPA","2021","687.73 AF","19562.33 AF","2844.48%","687.73 AF","PHOENIX AMA","","N","","7084917"
"58-130027.0004","EAST SALT RIVER VALLEY","2021","91.95 AF","1287.43 AF","1400.14%","27.88 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","7104233"
"58-103394.0002","ELOY","2025","672.76 AF","2427.6 AF","360.84%","NONE","PINAL AMA","SAN CARLOS","N","","7349329"
"58-108807.0005","HASSAYAMPA","2024","75.14 AF","2733.52 AF","3637.9%","NONE","PHOENIX AMA","","N","","7618605"
"58-108622.0014","WEST SALT RIVER VALLEY","2024","66.13 AF","330.15 AF","499.24%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","7729157"
"58-106649.0012","WEST SALT RIVER VALLEY","2025","777.48 AF","6543.46 AF","841.62%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","7782114"
"58-109711.0018","MARICOPA-STANFIELD","2013","21.41 AF","205.96 AF","961.98%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026854"
