"","County Name","Year","Population","Public.Supply","Domestic","Irrigation","Thermoelectric","Industrial","Mining","Livestock","Aquaculture"
"92","Yavapai County",1985,84.66,"12.46","0.49","38.54","0","1.47","0.97","-","-"
"93","Yavapai County",1990,107.71,"16.95","1.6","115.41","0","0","36.64","-","-"
"94","Yavapai County",1995,134.6,"13.5","3.82","46.85","0","0","24.4","-","-"
"95","Yavapai County",2000,167.52,"22.62","3.19","46.93","0","1.04","19.64","0.89","16.24"
"96","Yavapai County",2005,198.701,"25.2","2.66","47.58","0","1.11","16.01","0.52","15.07"
"97","Yavapai County",2010,211.033,"22.87","2.66","29.74","0","1.1","18.58","0.57","16.77"
"98","Yavapai County",2015,222.255,"21.14","2.22","31.14","0","1.12","14.79","0.5","16.28"
"99","Yuma County",1985,118.91,"12.29","11.65","1287.59","0.45","8.81","0","-","-"
"100","Yuma County",1990,106.9,"24.2","2.81","1228.42","0.42","0","0","-","-"
"101","Yuma County",1995,132.87,"21.57","3.32","1214.48","0.29","0","0","-","-"
"102","Yuma County",2000,160.03,"28.74","2.22","1295.62","0.52","0.19","0.02","3.19","0"
"103","Yuma County",2005,181.277,"38.52","1.41","1127.59","0.31","0.2","0.03","3.27","0"
"104","Yuma County",2010,195.751,"33.3","1.41","1121.9","0.71","0.22","0.11","3.7","0"
"105","Yuma County",2015,204.275,"36.29","1.41","1079.69","0.57","0.05","0.08","3.36","0"
